path,lines,named_by_tests,named_in_protects,layer
scripts/declared-paths.py,136,0,no,scripts
scripts/doc-growth.py,175,3,no,scripts
scripts/doc-placement.py,103,0,no,scripts
scripts/duplicated-claims.py,238,2,no,scripts
scripts/embedded-prose.py,758,0,no,scripts
scripts/mcp-link-safe.py,208,1,no,scripts
scripts/ocr-pdf.py,186,0,no,scripts
scripts/page-strips.py,96,0,no,scripts
scripts/showing.py,434,46,yes,scripts
scripts/stranded-titles.py,325,1,yes,scripts
scripts/sunset-scan.py,110,1,no,scripts
scripts/text-carriers.py,538,2,no,scripts
scripts/unclaimed-code.py,186,0,no,scripts
tools/build/audit-payload.py,173,3,no,tools/build
tools/build/bake.mjs,52,2,no,tools/build
tools/build/build-app.mjs,157,1,no,tools/build
tools/build/build-lib.mjs,107,4,no,tools/build
tools/build/build.mjs,76,76,yes,tools/build
tools/build/cache-readers.mjs,124,1,no,tools/build
tools/build/console-suite.mjs,50,2,no,tools/build
tools/build/docs-reach.mjs,277,2,no,tools/build
tools/build/docs-readme.mjs,97,1,no,tools/build
tools/build/graph.mjs,85,2,no,tools/build
tools/build/graphql-schema.mjs,229,1,no,tools/build
tools/build/injection-measure.mjs,167,0,no,tools/build
tools/build/kit-shim.mjs,18,0,no,tools/build
tools/build/pages-index.mjs,455,1,no,tools/build
tools/build/pages-shots.mjs,84,0,no,tools/build
tools/build/registries-load.mjs,102,13,no,tools/build
tools/build/registries-reach.mjs,90,1,no,tools/build
tools/build/repo-pages-shots.mjs,166,0,no,tools/build
tools/build/snags-index.mjs,251,2,no,tools/build
tools/build/tests-index.mjs,242,1,no,tools/build
tools/build/tools-index.mjs,187,1,no,tools/build
tools/build/verify-build.mjs,85,1,no,tools/build
