top,group,label,title,href,thumb,code,note
demos,pages/demos/,cross-repo-read-demo,cross-repo read() — data transfer demo,demos/cross-repo-read-demo.html,thumbs/demos/cross-repo-read-demo.png,https://github.com/mehrlander/web-tools/blob/main/pages/demos/cross-repo-read-demo.html,Reading files across repos with gh.read() — a data-transfer demo.
demos,pages/demos/,mention-demo,@-mention picker — living demo,demos/mention-demo.html,thumbs/demos/mention-demo.png,https://github.com/mehrlander/web-tools/blob/main/pages/demos/mention-demo.html,
demos,pages/demos/,prebuild-demo,"Pre-build demo — one import, whole library",demos/prebuild-demo.html,thumbs/demos/prebuild-demo.png,https://github.com/mehrlander/web-tools/blob/main/pages/demos/prebuild-demo.html,One import boots the whole library from the dist/ pre-build.
demos,pages/demos/,sheet-modal-demo,sheet-modal demo,demos/sheet-modal-demo.html,thumbs/demos/sheet-modal-demo.png,https://github.com/mehrlander/web-tools/blob/main/pages/demos/sheet-modal-demo.html,Bottom-sheet / modal component demo.
demos,pages/demos/,vanilla-bundle-demo,vanilla-bundle — living demo,demos/vanilla-bundle-demo.html,thumbs/demos/vanilla-bundle-demo.png,https://github.com/mehrlander/web-tools/blob/main/pages/demos/vanilla-bundle-demo.html,Live tour of vanilla-bundle.js — the framework-free DOM shorthand.
demos,pages/demos/,wring-dom,Wring | Bookend Merge — DOM Signature Grouping,demos/wring-dom.html,thumbs/demos/wring-dom.png,https://github.com/mehrlander/web-tools/blob/main/pages/demos/wring-dom.html,Repeated DOM components from signatures or pasted HTML.
demos,pages/demos/,wring-text,Wring | General-Text Induction — Tokenize → Grammar → Group,demos/wring-text.html,thumbs/demos/wring-text.png,https://github.com/mehrlander/web-tools/blob/main/pages/demos/wring-text.html,Template induction on logs/records — kits/wring.js live.
drop,pages/drop/,at-file-nav,Path-following mention picker,drop/at-file-nav.html,thumbs/drop/at-file-nav.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/at-file-nav.html,
drop,pages/drop/,cm6-editor,Literate Solo Editor,drop/cm6-editor.html,thumbs/drop/cm6-editor.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/cm6-editor.html,
drop,pages/drop/,diff-tool,Legislative Diff Tool,drop/diff-tool.html,thumbs/drop/diff-tool.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/diff-tool.html,
drop,pages/drop/,gist-editor,Gist Editor,drop/gist-editor.html,thumbs/drop/gist-editor.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/gist-editor.html,
drop,pages/drop/,live-docs,Living Documentation — daisyUI,drop/live-docs.html,thumbs/drop/live-docs.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/live-docs.html,
drop,pages/drop/,live-docs-concept,Living Documentation — a concept,drop/live-docs-concept.html,thumbs/drop/live-docs-concept.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/live-docs-concept.html,
drop,pages/drop/,word-frequencies,Word Frequency & POS APIs,drop/word-frequencies.html,thumbs/drop/word-frequencies.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/word-frequencies.html,
drop,pages/drop/components/,console,Console Web Component,drop/components/console.html,thumbs/drop/components/console.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/components/console.html,
drop,pages/drop/components/,Sheet,iOS Sheet,drop/components/Sheet.html,thumbs/drop/components/Sheet.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/components/Sheet.html,
drop,pages/drop/fills-concepts/1-chain-constructor/,aic,fill · Art Institute Browser,drop/fills-concepts/1-chain-constructor/aic.html,thumbs/drop/fills-concepts/1-chain-constructor/aic.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/fills-concepts/1-chain-constructor/aic.html,
drop,pages/drop/fills-concepts/1-chain-constructor/,aic-browser,fill · Art Institute of Chicago,drop/fills-concepts/1-chain-constructor/aic-browser.html,thumbs/drop/fills-concepts/1-chain-constructor/aic-browser.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/fills-concepts/1-chain-constructor/aic-browser.html,
drop,pages/drop/fills-concepts/1-chain-constructor/,aic-kimi-1,Art Institute Browser — fill(),drop/fills-concepts/1-chain-constructor/aic-kimi-1.html,thumbs/drop/fills-concepts/1-chain-constructor/aic-kimi-1.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/fills-concepts/1-chain-constructor/aic-kimi-1.html,
drop,pages/drop/fills-concepts/2-tagged-factory/,aic-1,fill · Art Institute Browser,drop/fills-concepts/2-tagged-factory/aic-1.html,thumbs/drop/fills-concepts/2-tagged-factory/aic-1.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/fills-concepts/2-tagged-factory/aic-1.html,
drop,pages/drop/fills-concepts/2-tagged-factory/,aic-browse,AIC Collection Browser,drop/fills-concepts/2-tagged-factory/aic-browse.html,thumbs/drop/fills-concepts/2-tagged-factory/aic-browse.png,https://github.com/mehrlander/web-tools/blob/main/pages/drop/fills-concepts/2-tagged-factory/aic-browse.html,
